index,two-k,weight,age,fifteen-Hun
1,13,83.5,22,13.66
2,10.1,73.6,20,11.69
3,11.4,91.2,21,10.49
4,12.5,96.6,24,13.53
5,12.1,89.6,22,12.49
6,11.7,82.9,23,12.53
7,10.5,79.9,23,11.48
8,11,80.4,22,11.66
9,10,79,22,9.78
10,9.7,78.3,22,11.95
11,12.9,93,28,14.38
12,12.3,88.1,28,13.22
13,12.5,96.6,24,13.74
14,13,83.5,22,14.02
15,9.7,78.3,22,13.15
16,12.5,96.6,24,13.69
17,10,79,22,10.71
18,9.9,72.4,21,12.45
19,11.4,91.2,21,10.13
20,10.5,79.9,23,11.77
21,10.1,73.6,20,12.25
22,10.9,79.2,25,11.54
23,11,80.4,22,11.7
24,9.9,72.4,21,12.67
25,12.5,96.6,24,14.47
26,12.3,88.1,28,14.21
27,11.7,82.9,23,13.31
28,10,79,22,11.01
29,11.4,91.2,21,10.86
30,12.9,93,28,13.62
31,10.1,73.6,20,12.84
32,9.7,78.3,22,13.07
33,12.2,74,22,11.15
34,11.9,91.3,20,11.54
35,10.5,73.2,21,11.79
36,11.1,72.3,20,11.87
37,10.3,74.2,19,9.99
38,11.2,72.2,20,11.78
39,10.5,84.2,22,12.18
40,11,78.8,22,11.85
41,13.3,94.4,27,13.8
42,13.3,94.4,27,14.31
43,10.5,73.2,21,11.15
44,11.9,91.3,20,11.73
45,11.1,72.3,20,11.9
46,10.3,74.2,19,10.43
47,11.2,72.2,20,12.12
48,11,79.7,22,11.26
49,11,78.8,22,11.07
50,11.8,83,22,13.55
51,11.7,90.1,21,12.29
52,10.3,74.2,19,11.19
53,11,79.7,22,11.78
54,10.8,76.6,24,11.19
55,10.9,76.3,23,13.33
56,10.2,75.8,23,11.48
57,11.8,83,22,13.63
58,10.5,84.2,22,12.42
59,10.8,73.3,28,10.19
60,13.3,94.4,27,13.61
61,11.5,80.1,24,12.78
62,11.2,72.2,20,11.92
63,12.9,90.1,27,13.74
64,13.1,85.3,23,15.77
65,11.1,72.3,20,11.26
66,11,78.8,22,12.12
67,10.5,73.2,21,12.15
68,10.8,76.6,24,11.45
69,10.8,73.3,28,11.48
70,13.3,94.4,27,13.58
71,11.8,83,22,12.93
72,10.5,84.2,22,12.7
73,10.3,74.2,19,10.95
74,11.2,72.2,20,12.35
75,11.7,90.1,21,12.35
76,10.1,78.1,21,11.35
77,11.9,91.3,20,12.11
78,10.3,78.9,25,10.66
79,10.5,73.2,21,12.32
80,10.8,76.6,24,12.91
81,11.1,72.3,20,12.49
82,10.8,73.3,28,10.65
83,12.9,90.1,27,13.32
84,11,79.7,22,12
85,13.1,85.3,23,15.54
86,11.1,72.3,20,11.74
87,11,78.8,22,11.95
88,11.8,83,22,12.92
89,13.1,85.3,23,15.31
90,9.3,77.6,25,11.61
91,10.3,74.2,19,11.04
92,11.9,91.3,20,12.04
93,11.2,72.2,20,12.53
94,10.5,73.2,21,12.11
95,12.9,90.1,27,13.69
96,13.3,94.4,27,13.39
97,10.8,73.3,28,10.49
98,11,79.7,22,12.28
99,10.2,75.8,23,12.18
100,11.5,80.1,24,11.51
101,11,79.7,22,12.89
102,10.9,76.3,23,11.4
103,11,78.8,22,11.65
104,11.2,72.2,20,13.4
105,11.1,72.3,20,12.67
106,10.5,84.2,22,11.94
107,10.3,74.2,19,11.03
108,10.5,73.2,21,12.46
109,11.9,91.3,20,11.5
110,11.8,83,22,13.04
111,12.9,90.1,27,14.05
112,13.1,85.3,23,14.98
113,12.1,89.6,21,11.87
114,10.1,73.6,19,11.17
115,10.1,77.5,25,11.55
116,12.3,88.1,27,13.15
117,9.2,71.7,28,10.63
118,9.9,72.4,20,11.49
119,10.5,79.9,22,12.23
120,9.7,78.3,21,10.81
121,10.9,79.2,24,12.16
122,9.8,76.2,24,10.83
123,11.7,82.9,22,11.76
124,11,80.4,21,10.72
125,12.9,93,27,13.34
126,10.8,82.8,22,12.42
127,12.2,74,21,12.01
128,12.5,96.6,23,12.73
129,11.4,91.2,20,11.87
130,10,79,21,10.19
131,12.3,88.1,27,13.99
132,13,83.5,21,13.08
133,10.5,79.9,22,11.7
134,9.8,76.2,24,11.08
135,9.2,71.7,28,10.24
136,11,80.4,21,10.9
137,10.1,73.6,19,11.11
138,9.7,78.3,21,9.48
139,10.8,82.8,22,11.69
140,12.2,74,21,11.76
141,10,79,21,10.91
142,11.4,91.2,20,11.62
143,9.9,72.4,20,11.72
144,10.1,77.5,25,10.76
145,10.9,79.2,24,12.12
146,12.2,74,21,11.92
147,13,83.5,21,13.19
148,10.1,73.6,19,10.77
149,9.9,72.4,20,11.46
150,11,80.4,21,10.81
151,10,86.8,21,9.5
152,10.8,82.8,22,11.08
153,12.5,96.6,23,13.54
154,12.9,93,27,13.42
155,11.4,91.2,20,11.82
156,10.5,79.9,22,11.96
157,11.7,82.9,22,12.85
158,12.3,88.1,27,13.54
159,11.8,88.2,25,11.43
160,10.1,73.6,19,11.11
161,9.8,76.2,24,10.93
162,13,83.5,21,13.35
163,10.8,78.4,24,12.28
164,10.8,82.8,22,11.92
165,12.9,93,27,14.13
166,10.5,79.9,22,11.87
167,12.1,89.6,21,12.35
168,11.8,88.2,25,12.06
169,11.3,77.8,25,11.43
170,11,80.4,21,11.02
171,10.9,79.2,24,12.52
172,10,86.8,21,10.52
173,12.2,74,21,11.59
174,10,79,21,9.68
175,12.5,92.1,25,13.58
176,11.9,89.2,23,12.63
177,11.9,94.1,21,12.58
178,11.7,96.1,23,12.83
179,9.9,73.4,21,11.64
180,11.2,88,22,13
181,9.9,78.6,23,10.11
182,10.4,78.2,23,10
183,9.6,76.4,24,9.46
184,9.9,71.7,26,9.42
185,10.3,74.4,23,11.79
186,10.4,80.2,20,12.48
187,10.7,72.4,22,11.5
188,10,77.3,23,11.22
189,9.7,80.6,20,10.91
190,9.2,68.5,23,10.29
191,8.9,82.4,22,7
192,10,77.3,23,11.22
193,10.8,80.1,23,10.67
194,12.5,92.1,25,12.84
195,11.9,89.2,23,13.65
196,11.7,96.1,23,12.87
197,9.9,73.4,21,12.08
198,11.2,88,22,12.45
199,10.4,78.2,23,11.32
200,9.6,76.4,24,10.21
201,10.5,80,20,12.21
202,10.3,74.4,23,11.74
203,10.7,72.4,22,10.91
204,9.7,80.6,20,10.87
205,8.5,72.1,22,10.96
206,11.7,88.2,21,13.65
207,10.4,80.2,20,12.67
208,11.9,94.1,21,11.26
209,9.9,78.6,23,10.58
210,9.2,68.5,23,10.17
211,8.9,82.4,22,8.17
212,9.9,71.7,26,11.05
213,10.4,82.3,24,12.18
214,12.5,92.1,25,13.78
215,11.9,89.2,23,12.96
216,9.9,73.4,21,11.2
217,11.2,88,22,13.3
218,11.7,96.1,23,12.67
219,10.4,78.2,23,10.54
220,10.8,80.1,23,10.85
221,9.9,71.7,26,10.63
222,8.5,72.1,22,11.09
223,10.4,80.2,20,12.67
224,10.5,80,20,11.52
225,8.9,82.4,22,7.48
226,10.3,74.4,23,12
227,10,77.3,23,10.78
228,12.5,92.1,25,14.36
229,11.7,88.2,21,13.4
230,11.9,89.2,23,13.29
231,11.2,88,22,14.87
232,11.7,96.1,23,12.96
233,9.9,73.4,21,12.25
234,11.9,94.1,21,12.26
235,10.4,78.2,23,11.75
236,9.9,71.7,26,10.54
237,9.6,76.4,24,10.7
238,9.9,78.6,23,10.62
239,10.4,82.3,24,11.78
240,10.5,80,20,12.26
241,10.3,74.4,23,11.74
242,8.5,72.1,22,11.09
243,10.4,80.2,20,13.08
