index,two-k,fifteen-Hun,weight,age,reps
1,13,13.66,83.5,22,12
2,10.1,11.69,73.6,20,10
3,11.4,10.49,91.2,21,10
4,11.2,11.78,72.2,21,10
5,12.5,13.53,96.6,24,5
6,12.1,12.49,89.6,22,10
7,11.7,12.53,82.9,23,10
8,10.5,11.48,79.9,23,8
9,11,11.66,80.4,22,8
10,10,9.78,79,22,8
11,9.7,11.95,78.3,22,10
12,12.9,14.38,93,28,10
13,12.3,13.22,88.1,28,12
14,12.5,13.74,96.6,24,12
15,13,14.02,83.5,22,12
16,9.7,13.15,78.3,22,10
17,12.5,13.69,96.6,24,12
18,10,10.71,79,22,10
19,9.9,12.45,72.4,21,12
20,11.4,10.13,91.2,21,12
21,10.5,11.77,79.9,23,10
22,10.1,12.25,73.6,20,10
23,10.9,11.54,79.2,25,12
24,11,11.7,80.4,22,10
25,11.2,11.78,72.2,21,12
26,9.9,12.67,72.4,21,12
27,12.5,14.47,96.6,24,12
28,12.3,14.21,88.1,28,12
29,11.7,13.31,82.9,23,12
30,10,11.01,79,22,4
31,11.4,10.86,91.2,21,12
32,12.9,13.62,93,28,12
33,10.1,12.84,73.6,20,4
34,9.7,13.07,78.3,22,10
35,12.2,11.15,74,22,6
36,12,11.56,90.6,25,3
37,11.9,11.54,91.3,20,8
38,10.5,11.79,73.2,21,8
39,11.1,11.87,72.3,20,8
40,10.1,11.73,77.5,25,10
41,10.3,9.99,74.2,19,8
42,11.2,11.78,72.2,20,8
43,10.5,12.18,84.2,22,8
44,11,11.85,78.8,22,2
45,13.3,13.8,94.4,27,10
46,13.3,14.31,94.4,27,12
47,10.5,11.15,73.2,21,10
48,11.9,11.73,91.3,20,10
49,10.1,11.51,77.5,25,12
50,11.1,11.9,72.3,20,10
51,10.3,10.43,74.2,19,10
52,11.2,12.12,72.2,20,10
53,11,11.26,79.7,22,10
54,11,11.07,78.8,22,6
55,11.8,13.55,83,22,5
56,13,12.74,83.5,21,10
57,11.7,12.29,90.1,21,8
58,10.3,11.19,74.2,19,10
59,13,13.06,83.5,21,10
60,11,11.78,79.7,22,12
61,10.8,11.19,76.6,24,6
62,10.9,13.33,76.3,23,6
63,10.2,11.48,75.8,23,6
64,11.8,13.63,83,22,10
65,10.5,12.42,84.2,22,12
66,10.8,10.19,73.3,28,6
67,13.3,13.61,94.4,27,14
68,10.1,11.99,77.5,25,14
69,11.5,12.78,80.1,24,10
70,11.2,11.92,72.2,20,12
71,9.8,10.43,76.2,24,8
72,12.9,13.74,90.1,27,14
73,13.1,15.77,85.3,23,12
74,11.1,11.26,72.3,20,12
75,12.5,14.06,96.6,23,6
76,11,12.12,78.8,22,6
77,10.5,12.15,73.2,21,12
78,10.8,11.45,76.6,24,10
79,10.8,11.48,73.3,28,6
80,13.3,13.58,94.4,27,14
81,11.8,12.93,83,22,14
82,10.5,12.7,84.2,22,12
83,10.3,10.95,74.2,19,12
84,11.2,12.35,72.2,20,12
85,11.7,12.35,90.1,21,10
86,11,11.01,80.4,21,10
87,10.1,11.16,77.5,25,6
88,10.1,11.35,78.1,21,8
89,11.9,12.11,91.3,20,12
90,10.3,10.66,78.9,25,2
91,10.5,12.32,73.2,21,12
92,10.8,12.91,76.6,24,12
93,11.1,12.49,72.3,20,12
94,10.8,10.65,73.3,28,10
95,12.9,13.32,90.1,27,14
96,11,12,79.7,22,12
97,13.1,15.54,85.3,23,11
98,11.1,11.74,72.3,20,12
99,11,11.95,78.8,22,8
100,11.8,12.92,83,22,10
101,13.1,15.31,85.3,23,14
102,9.3,11.61,77.6,25,8
103,11,10.69,80.4,21,10
104,10.3,11.04,74.2,19,12
105,11.9,12.04,91.3,20,12
106,11.2,12.53,72.2,20,12
107,10.1,11.04,77.5,25,12
108,10.5,12.11,73.2,21,12
109,12.9,13.69,90.1,27,14
110,13.3,13.39,94.4,27,14
111,10.8,10.49,73.3,28,5
112,11,12.28,79.7,22,12
113,10.2,12.18,75.8,23,6
114,11.5,11.51,80.1,24,12
115,11,12.89,79.7,22,5
116,9.8,11.16,76.2,24,8
117,10.9,11.4,76.3,23,8
118,11,11.65,78.8,22,8
119,11.2,13.4,72.2,20,5
120,11.1,12.67,72.3,20,10
121,11,11.4,80.4,21,10
122,10.5,11.94,84.2,22,8
123,10.3,11.03,74.2,19,10
124,10.5,12.46,73.2,21,10
125,11.9,11.5,91.3,20,10
126,11.8,13.04,83,22,10
127,12.5,13.74,96.6,23,4
128,10.1,12.11,77.5,25,12
129,12.9,14.05,90.1,27,12
130,13.1,14.98,85.3,23,12
131,12.1,11.87,89.6,21,12
132,10.1,11.17,73.6,19,12
133,10.1,11.55,77.5,25,14
