Date,Athletes Name,watts,rate,reps,weight,age,twoKrate,twoKPredictions
28/11/2022,Athlete 1,280.95,22,10,80,22,34,01:37.7
28/11/2022,Athlete 2,328.84,23,12,88.2,22,34,01:34.4
28/11/2022,Athlete 3,312.05,24,10,92.6,22,33,01:35.7
28/11/2022,Athlete 4,230.73,23,8,65.9,22,32,01:43.2
28/11/2022,Athlete 5,329.81,24,8,96.4,24,34,01:33.9
28/11/2022,Athlete 6,268.78,23,12,76.5,19,34,01:39.4
28/11/2022,Athlete 7,310.25,24,12,74.9,21,36,01:38.1
28/11/2022,Athlete 8,350,23,12,97.5,21,34,01:34.0
28/11/2022,Athlete 9,328.84,23,12,99.7,24,34,01:33.4
28/11/2022,Athlete 10,335.7,23,12,90.6,28,34,01:33.1
28/11/2022,Athlete 11,323.11,24,12,82.9,23,37,01:33.0
28/11/2022,Athlete 12,267.31,24,10,79.4,19,34,01:39.5
28/11/2022,Athlete 13,283.31,24,10,84,23,34,01:36.6
28/11/2022,Athlete 14,321.23,24,8,97.5,28,34,01:33.3
28/11/2022,Athlete 15,265.12,23,8,90,21,34,01:36.7
28/11/2022,Athlete 16,292.21,25,12,79.3,23,36,01:36.9
28/11/2022,Athlete 17,271.01,23,10,80.8,22,32,01:40.2
28/11/2022,Athlete 18,213.02,23,8,82.7,22,33,01:41.3
28/11/2022,Athlete 19,238.11,23,8,74.8,22,34,01:40.9
